period_end,gti,ghi,clearsky_ghi,clearsky_gti,albedo,winddirAvg,humidityHigh,humidityLow,humidityAvg,tempHigh,tempLow,tempAvg,windspeedHigh,windspeedLow,windspeedAvg,windgustHigh,windgustLow,windgustAvg,dewptHigh,dewptLow,dewptAvg,windchillHigh,windchillLow,windchillAvg,heatindexHigh,heatindexLow,heatindexAvg,pressureMax,pressureMin,pressureTrend,precipRate,precipTotal,e,pev,ssr,ssrc,str,strc,tcc,delta,e_a,e_s,R_n,G,psi,ET_0
2023-05-02 01:00:00+00:00,0,0,0,0,0.16,248.0,90.0,82.0,86.0,10.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,10.0,8.0,9.0,10.0,8.0,9.0,1008.81,1008.81,0.0,0.0,0.0,,,,,,,,0.07755465977678412,1.001858425976152,1.1503657226102524,,,0.067085865,
2023-05-02 02:00:00+00:00,0,0,0,0,0.16,271.0,90.0,73.0,86.0,9.0,8.0,8.0,4.0,0.0,0.0,5.0,0.0,0.0,7.0,4.0,6.0,9.0,8.0,8.0,9.0,8.0,8.0,1008.81,1008.81,0.0,0.0,0.0,,,,,,,,0.0730605609421387,0.9351094033937339,1.1104146519296187,,,0.067085865,
2023-05-02 03:00:00+00:00,0,0,0,0,0.16,75.0,72.0,62.0,64.0,12.0,9.0,11.0,11.0,0.0,3.0,12.0,0.0,3.0,6.0,4.0,5.0,12.0,9.0,11.0,12.0,9.0,11.0,1009.82,1008.81,1.02,0.0,0.0,,,,,,,,0.0872546695224779,0.8723109603497123,1.2753121755125338,,,0.06711944750000001,
2023-05-02 04:00:00+00:00,1,1,3,2,0.16,79.0,70.0,63.0,66.0,12.0,11.0,11.0,9.0,0.0,3.0,10.0,0.0,3.0,5.0,5.0,5.0,12.0,11.0,11.0,12.0,11.0,11.0,1010.84,1009.82,1.02,0.0,0.0,,,,,,,,0.0872546695224779,0.8723109603497123,1.357639006076392,,,0.06718694500000001,
2023-05-02 05:00:00+00:00,26,30,70,33,0.16,79.0,71.0,68.0,69.0,11.0,10.0,11.0,9.0,0.0,2.0,9.0,0.0,2.0,6.0,5.0,5.0,11.0,10.0,11.0,11.0,10.0,11.0,1011.85,1010.84,1.02,0.0,0.0,,,,,,,,0.0872546695224779,0.8723109603497123,1.2703383792226033,,,0.0672544425,
2023-05-02 06:00:00+00:00,120,139,204,138,0.16,79.0,70.0,66.0,67.0,12.0,11.0,12.0,9.0,0.0,3.0,9.0,0.0,3.0,6.0,5.0,6.0,12.0,11.0,12.0,12.0,11.0,12.0,1012.87,1011.85,1.02,0.0,0.0,,,,,,,,0.09248047363337644,0.9351094033937339,1.357639006076392,,,0.06732194,
2023-05-02 07:00:00+00:00,325,346,357,334,0.16,78.0,69.0,65.0,67.0,13.0,12.0,13.0,13.0,0.0,5.0,14.0,0.0,5.0,7.0,6.0,7.0,13.0,12.0,13.0,13.0,12.0,13.0,1014.9,1013.88,1.02,0.0,0.0,,,,,,,,0.09797057210130243,1.001858425976152,1.450167387901966,,,0.067456935,
2023-05-02 08:00:00+00:00,404,409,505,545,0.16,75.0,69.0,64.0,66.0,14.0,13.0,14.0,12.0,0.0,4.0,14.0,0.0,5.0,8.0,7.0,8.0,14.0,13.0,14.0,14.0,13.0,14.0,1015.92,1015.92,0.0,0.0,0.0,,,,,,,,0.10373566746867496,1.072768825881126,1.5481878810911338,,,0.06755868,
2023-05-02 09:00:00+00:00,230,264,634,737,0.16,71.0,70.0,65.0,67.0,14.0,14.0,14.0,11.0,0.0,3.0,12.0,0.0,3.0,8.0,8.0,8.0,14.0,14.0,14.0,14.0,14.0,14.0,1015.92,1015.92,0.0,0.0,0.0,,,,,,,,0.10373566746867496,1.072768825881126,1.5986048594252917,,,0.06755868,
2023-05-02 10:00:00+00:00,212,243,726,878,0.16,61.0,69.0,63.0,66.0,15.0,14.0,14.0,10.0,0.0,3.0,11.0,0.0,3.0,9.0,8.0,8.0,15.0,14.0,14.0,15.0,14.0,14.0,1016.93,1015.92,1.02,0.0,0.0,,,,,,,,0.10373566746867496,1.072768825881126,1.651975545770532,,,0.0675922625,
2023-05-02 11:00:00+00:00,186,213,786,973,0.16,58.0,70.0,64.0,66.0,15.0,14.0,15.0,12.0,0.0,4.0,13.0,0.0,4.0,9.0,8.0,9.0,15.0,14.0,15.0,15.0,14.0,15.0,1016.93,1016.93,0.0,0.0,0.0,,,,,,,,0.10978677277584367,1.1480604779781116,1.651975545770532,,,0.06762584499999999,
2023-05-02 12:00:00+00:00,300,344,800,998,0.16,67.0,74.0,69.0,71.0,14.0,12.0,13.0,13.0,0.0,6.0,15.0,0.0,6.0,9.0,7.0,8.0,14.0,12.0,13.0,14.0,12.0,13.0,1017.95,1017.95,0.0,0.0,0.0,,,,,,,,0.09797057210130243,1.072768825881126,1.500584366236124,,,0.06769367500000001,
2023-05-02 13:00:00+00:00,366,411,762,937,0.16,69.0,70.0,63.0,65.0,13.0,12.0,13.0,14.0,0.0,6.0,16.0,0.0,7.0,7.0,6.0,6.0,13.0,12.0,13.0,13.0,12.0,13.0,1018.96,1017.95,1.02,0.0,0.0,,,,,,,,0.09797057210130243,0.9351094033937339,1.450167387901966,,,0.0677272575,
2023-05-02 14:00:00+00:00,469,470,678,805,0.16,75.0,65.0,58.0,61.0,14.0,12.0,13.0,13.0,0.0,6.0,14.0,0.0,7.0,6.0,5.0,6.0,14.0,12.0,13.0,14.0,12.0,13.0,1019.98,1018.96,0.0,0.0,0.0,,,,,,,,0.09797057210130243,0.9351094033937339,1.500584366236124,,,0.06779475500000001,
2023-05-02 15:00:00+00:00,370,384,556,614,0.16,68.0,62.0,56.0,59.0,13.0,11.0,12.0,14.0,0.0,6.0,18.0,0.0,7.0,5.0,4.0,4.0,13.0,11.0,12.0,13.0,11.0,12.0,1019.98,1019.98,0.0,0.0,0.0,,,,,,,,0.09248047363337644,0.8132610958262529,1.405242520931402,,,0.06782867000000001,
2023-05-02 16:00:00+00:00,208,239,409,390,0.16,74.0,64.0,57.0,61.0,12.0,10.0,11.0,12.0,0.0,5.0,16.0,0.0,6.0,4.0,2.0,3.0,12.0,10.0,11.0,12.0,10.0,11.0,1019.98,1019.98,0.0,0.0,0.0,,,,,,,,0.0872546695224779,0.7577663300977576,1.3152632461931675,,,0.06782867000000001,
2023-05-02 17:00:00+00:00,154,217,249,162,0.16,75.0,62.0,53.0,56.0,12.0,11.0,11.0,10.0,0.0,3.0,10.0,0.0,3.0,4.0,2.0,3.0,12.0,11.0,11.0,12.0,11.0,11.0,1021.0,1019.98,0.0,0.0,0.0,,,,,,,,0.0872546695224779,0.7577663300977576,1.357639006076392,,,0.067862585,
2023-05-02 18:00:00+00:00,46,80,97,27,0.16,72.0,62.0,56.0,58.0,11.0,10.0,10.0,7.0,0.0,1.0,9.0,0.0,1.0,3.0,2.0,3.0,11.0,10.0,10.0,11.0,10.0,10.0,1021.0,1019.98,1.02,0.0,0.0,,,,,,,,0.08228276324952875,0.7577663300977576,1.2703383792226033,,,0.067862585,
2023-05-02 19:00:00+00:00,4,4,6,3,0.16,68.0,71.0,61.0,64.0,10.0,9.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,3.0,10.0,9.0,10.0,10.0,9.0,10.0,1021.0,1021.0,0.0,0.0,0.0,,,,,,,,0.08228276324952875,0.7577663300977576,1.188011548658745,,,0.0678965,
2023-05-02 20:00:00+00:00,0,0,0,0,0.16,68.0,75.0,67.0,70.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,4.0,9.0,9.0,9.0,9.0,9.0,9.0,1021.0,1021.0,0.0,0.0,0.0,,,,,,,,0.07755465977678412,0.8132610958262529,1.1480604779781116,,,0.0678965,
2023-05-02 21:00:00+00:00,0,0,0,0,0.16,91.0,77.0,59.0,67.0,10.0,9.0,9.0,7.0,0.0,1.0,8.0,0.0,1.0,5.0,2.0,3.0,10.0,8.0,9.0,10.0,9.0,9.0,1022.01,1021.0,1.02,0.0,0.0,,,,,,,,0.07755465977678412,0.7577663300977576,1.188011548658745,,,0.0679300825,
2023-05-02 22:00:00+00:00,0,0,0,0,0.16,77.0,65.0,60.0,61.0,10.0,9.0,10.0,10.0,0.0,2.0,10.0,0.0,2.0,3.0,2.0,3.0,10.0,8.0,10.0,10.0,9.0,10.0,1022.01,1022.01,0.0,0.0,0.0,,,,,,,,0.08228276324952875,0.7577663300977576,1.188011548658745,,,0.06796366499999999,
2023-05-02 23:00:00+00:00,0,0,0,0,0.16,81.0,66.0,62.0,64.0,9.0,9.0,9.0,7.0,0.0,2.0,8.0,0.0,2.0,3.0,2.0,3.0,9.0,8.0,9.0,9.0,9.0,9.0,1022.01,1022.01,0.0,0.0,0.0,,,,,,,,0.07755465977678412,0.7577663300977576,1.1480604779781116,,,0.06796366499999999,
2023-05-03 00:00:00+00:00,0,0,0,0,0.16,77.0,65.0,62.0,63.0,9.0,9.0,9.0,9.0,0.0,2.0,9.0,0.0,2.0,3.0,2.0,2.0,9.0,8.0,9.0,9.0,9.0,9.0,1022.01,1022.01,0.0,0.0,0.0,,,,,,,,0.07755465977678412,0.7056414341440281,1.1480604779781116,,,0.06796366499999999,
2023-05-03 01:00:00+00:00,0,0,0,0,0.17,77.0,66.0,61.0,63.0,9.0,8.0,8.0,9.0,0.0,2.0,9.0,0.0,2.0,2.0,2.0,2.0,9.0,7.0,8.0,9.0,8.0,8.0,1022.01,1022.01,0.0,0.0,0.0,,,,,,,,0.0730605609421387,0.7056414341440281,1.1104146519296187,,,0.06796366499999999,
2023-05-03 02:00:00+00:00,0,0,0,0,0.17,35.0,74.0,64.0,68.0,8.0,7.0,7.0,6.0,0.0,1.0,6.0,0.0,1.0,2.0,2.0,2.0,8.0,6.0,7.0,8.0,7.0,7.0,1022.01,1022.01,0.0,0.0,0.0,,,,,,,,0.0687909607935304,0.7056414341440281,1.037313625928639,,,0.06796366499999999,
2023-05-03 03:00:00+00:00,0,0,0,0,0.17,86.0,76.0,72.0,74.0,7.0,6.0,6.0,7.0,0.0,1.0,8.0,0.0,1.0,2.0,1.0,2.0,7.0,4.0,6.0,7.0,6.0,6.0,1023.03,1022.01,1.02,0.0,0.0,,,,,,,,0.06473664086726948,0.7056414341440281,0.968483914684943,,,0.06799758,
2023-05-03 04:00:00+00:00,3,4,4,3,0.17,72.0,81.0,75.0,77.0,6.0,5.0,5.0,6.0,0.0,1.0,7.0,0.0,1.0,2.0,1.0,2.0,6.0,4.0,5.0,6.0,5.0,5.0,1023.03,1022.01,1.02,0.0,0.0,,,,,,,,0.06088866541416394,0.7056414341440281,0.9037101818717231,,,0.06799758,
2023-05-03 05:00:00+00:00,34,78,83,29,0.17,68.0,81.0,76.0,79.0,6.0,5.0,5.0,5.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,2.0,6.0,5.0,5.0,6.0,5.0,5.0,1023.03,1023.03,0.0,0.0,0.0,,,,,,,,0.06088866541416394,0.7056414341440281,0.9037101818717231,,,0.068031495,
